F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
0,1,1,25,1,0,0,0,25,60,2565.2,0,0,25
0,1,1,50,1,0,0,0,50,2529.652174,60,0,25,50
0,1,1,23,1,0,0,0,23,60,2288.913043,0,0,23
0,1,1,42,1,0,0,0,42,2257.772727,60,0,20,42
0,1,1,4,1,0,0,0,4,230,154,0,0,4
0,1,1,1,1,0,0,0,1,0,230,0,0,1
0,3,1,10,3,0,0,0,10,738.6666667,82.2,0,3,10
0,1,1,3,1,0,0,0,3,60,738.6666667,0,0,3
0,3,1,10,3,0,1,0,10,1282.8,66.4,0,3,10
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,3,1.666666667,56,5,0,4,0,56,502.4642857,113.75,0,13,56
0,1,1,12,1,0,0,0,12,149,136.3333333,0,0,12
0,1,1,10,1,0,0,0,10,60,1180.4,0,0,10
0,1,1,1,1,0,0,0,1,0,142,0,0,1
0,1,1,1,1,0,0,0,1,0,60,0,0,1
0,1,1,4,1,0,0,0,4,154.2,106.75,0,0,4
0,1,1,2,1,0,0,0,2,220.3333333,61,0,0,2
0,1,1,13,1,0,0,0,13,60,1458.076923,0,0,13
0,4,1,38,4,0,3,0,38,1014.0625,104.5263158,0,13,38
0,1,1,1,1,0,0,0,1,0,212,0,0,1
0,1,1,2,1,0,0,0,2,236,61,0,0,2
0,1,1,4,1,0,0,0,4,60,106.25,0,0,4
0,4,1,26,4,0,3,0,26,738.1,97.61538462,0,7,26
0,1,1,1,1,0,0,0,1,0,60,0,0,1
0,1,1,1,1,0,0,0,1,0,111,0,0,1
0,1,1,1,1,0,0,0,1,149.5,62,0,0,1
0,1,1,6,1,0,0,0,6,119,1181.333333,0,0,6
0,1,1,8,1,0,0,0,8,60,1723.25,0,0,8
0,4,1,22,4,0,2,0,22,1603.111111,61.27272727,0,8,22
0,1,1,2,1,0,0,0,2,60,1147,0,0,2
0,1,1,1,1,0,0,0,1,0,130,0,0,1
0,1,1,10,1,0,0,0,10,60,2170.4,0,0,10
0,2,1,28,2,0,0,0,28,1804.166667,72.71428571,0,13,28
0,1,1,3,1,0,0,0,3,119.3333333,973.3333333,0,0,3
0,4,1,14,4,2,1,0,14,896.4,131.1428571,0,3,14
0,1,1,1,1,0,0,0,1,0,142,0,0,1
0,1,1,3,1,0,0,0,3,60,1426,0,0,3
0,1,1,1,1,0,0,0,1,297.5,62,0,0,1
0,1,1,4,1,0,0,0,4,60,1769,0,0,4
0,3,1,64,3,0,4,0,64,1891.807692,62.71875,0,27,64
0,1,1,4,1,0,0,0,4,60.5,106.25,0,0,4
0,1,1,20,1,0,0,0,20,63.45833333,2295.5,0,0,20
2,3,1,16,3,0,2,0,16,254.125,120.375,1,5,16
0,1,1,5,1,0,0,0,5,155.8,97.4,0,0,5
0,1,1,2,1,2,0,0,2,62,60,0,0,2
0,1,1,1,1,0,0,0,1,60,1426,0,0,1
2,2,1,4,2,0,0,0,4,970.6666667,61,1,1,4
0,1,1,1,1,1,0,0,1,0,60,0,0,1
0,1,1,2,1,0,0,0,2,60,1426,0,0,2
0,1,1,6,1,0,0,0,6,60,1654.666667,0,0,6
0,1,1,10,1,0,0,0,10,1769,60,0,5,10
0,1,1,2,1,0,0,0,2,60,1276.5,0,0,1
0,4,1,18,4,0,4,0,18,101.8571429,112.8888889,0,3,18
0,1,1,1,1,0,0,0,1,0,111,0,0,1
0,1,1,5,1,0,0,0,5,175.25,108.4,0,0,5
2,1,1,6,1,0,0,0,6,62,65.33333333,1,1,6
0,1,1,1,1,0,0,0,1,67,62,0,0,1
0,1,1,2,1,0,0,0,2,60,178,0,0,2
0,1,1,1,1,1,0,0,1,0,60,0,0,1
0,2,1,12,2,0,3,0,12,108.4,138.1666667,0,2,12
0,1,1,5,1,0,0,0,5,176.25,108.4,0,0,5
2,1,1,2,1,0,0,0,2,0,62,1,0,2
0,1,1,4,1,0,0,0,4,120,569,0,0,4
0,1,1,6,1,0,0,0,6,738.6666667,120,0,2,6
0,10,1,20,10,0,10,0,20,0,62,0,0,20
0,1,1,1,1,0,0,0,1,60,1078,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,2,2
20,11,1,24,11,0,0,0,24,1419.333333,61.66666667,10,2,24
0,1,1,3,1,0,0,0,3,60,1419.333333,0,0,3
0,1,1,1,1,0,0,0,1,60,1078,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,2,2
0,1,1,3,1,0,1,0,3,60,1078,0,0,3
0,2,1,8,2,0,1,0,8,738.6666667,60,0,5,8
0,1,1,1,1,0,0,0,1,0,60,0,0,1
0,1,1,2,1,0,0,0,2,60,1078,0,0,2
0,1,1,2,1,0,0,0,2,0,60,0,1,2
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,1,1,6,1,0,0,0,6,1078,60,0,3,6
0,1,1,8,1,0,0,0,8,1282.8,60,0,4,8
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,1,1,3,1,0,0,0,3,60,1078,0,0,3
20,11,1,26,11,0,0,0,26,1078,61.53846154,10,6,26
0,1,1,1,1,0,1,0,1,60,1078,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,1,2
0,1,1,2,1,0,0,0,2,60,1078,0,0,2
0,1,1,4,1,0,0,0,4,1078,60,0,2,4
0,1,1,2,1,0,0,0,2,60,1078,0,0,2
0,1,1,2,1,0,0,0,2,1078,60,0,1,2
0,1,1,4,1,0,0,0,4,1078,60,0,2,4
0,1,1,1,1,0,0,0,1,60,1078,0,0,1
0,1,1,4,1,0,0,0,4,60,1334,0,0,4
0,1,1,4,1,0,0,0,4,1590,60,0,2,4
0,2,1,8,2,0,0,0,8,1117.5,62.75,0,3,8
0,1,1,1,1,0,0,0,1,0,212,0,0,1
0,1,1,3,1,0,0,0,3,60,1419.333333,0,0,3
0,1,1,10,1,0,0,0,10,60,1078,0,0,10
0,1,1,10,1,0,0,0,10,1078,60,0,5,10
0,1,1,8,1,0,0,0,8,1078,60,0,4,8
0,1,1,5,1,0,0,0,5,60,1078,0,0,5
0,1,1,6,1,0,0,0,6,60,1248.666667,0,0,6
0,1,1,14,1,0,0,0,14,1282.8,60,0,13,14
0,1,1,3,1,0,1,0,3,60,1419.333333,0,0,3
0,1,1,8,1,0,0,0,8,1078,60,0,6,8
0,1,1,2,1,0,1,0,2,60,1590,0,0,2
0,1,1,4,1,0,0,0,4,2102,60,0,3,4
0,1,1,4,1,0,0,0,4,60,1334,0,0,4
0,1,1,8,1,0,0,0,8,1078,60,0,6,8
0,1,1,1,1,0,0,0,1,0,1078,0,0,1
0,1,1,6,1,0,0,0,6,2102,60,0,5,6
0,1,1,1,1,0,0,0,1,60,2102,0,0,1
0,1,1,2,1,0,0,0,2,60,1590,0,0,2
0,1,1,4,1,0,0,0,4,0,60,0,3,4
0,1,1,2,1,0,0,0,2,60,1590,0,0,2
0,1,1,4,1,0,0,0,4,2102,60,0,3,4
2,12,1,38,12,0,12,0,38,594.9,79.78947368,1,5,38
0,1,1,5,1,0,0,0,5,60,1078,0,0,5
0,1,1,4,1,0,0,0,4,148,124.75,0,0,4
0,1,1,1,1,1,0,0,1,62,60,0,0,1
0,1,1,2,1,2,0,0,2,62,60,0,0,2
2,3,1,8,3,0,1,0,8,823.5,61,1,2,8
0,1,1,3,1,0,0,0,3,60,1078,0,0,3
0,1,1,7,1,0,0,0,7,60,1224.285714,0,0,7
0,1,1,10,1,0,0,0,10,1334,60,0,5,10
18,10,1,28,10,0,0,0,28,1282.8,61.28571429,9,5,28
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,1,1,13,1,0,1,0,13,60,1156.769231,0,0,13
2,2,1,26,2,0,0,0,26,1171.090909,60.15384615,1,21,26
0,1,1,4,1,0,0,0,4,60,1078,0,0,4
0,1,1,4,1,0,0,0,4,1078,60,0,2,4
0,1,1,8,1,0,0,0,8,60,1462,0,0,8
0,1,1,12,1,0,0,0,12,1248.666667,60,0,6,12
0,1,1,8,1,0,0,0,8,60,1078,0,0,8
0,1,1,10,1,0,0,0,10,1078,60,0,5,10
0,1,1,1,1,0,0,0,1,60,1078,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,2,2
18,10,1,20,10,0,0,0,20,1078,61.8,9,1,20
0,1,1,2,1,0,0,0,2,60,1078,0,0,2
2,1,1,2,1,0,0,0,2,0,62,1,0,2
0,1,1,1,1,0,0,0,1,60,1078,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,1,2
0,1,1,4,1,0,0,0,4,60,1334,0,0,4
0,2,1,10,2,0,0,0,10,671.6,60.6,0,7,9
0,1,1,2,1,0,0,0,2,63,62,0,0,1
0,1,1,2,1,0,0,0,2,60,1590,0,0,2
0,1,1,4,1,0,0,0,4,0,60,0,2,4
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,1,1,8,1,0,0,0,8,1419.333333,60,0,4,8
0,1,1,1,1,0,0,0,1,60,1078,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,2,2
0,1,1,2,1,0,0,0,2,60,1078,0,0,2
0,1,1,2,1,0,0,0,2,0,60,0,1,2
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,1,1,6,1,0,0,0,6,1078,60,0,3,6
0,1,1,6,1,0,0,0,6,1078,60,0,3,6
0,1,1,4,1,0,0,0,4,60,1078,0,0,4
0,1,1,9,1,0,0,0,9,60,1305.555556,0,0,9
0,1,1,12,1,0,0,0,12,1370.571429,60,0,6,12
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,1,1,6,1,0,0,0,6,1078,60,0,3,6
0,10,1,36,10,0,9,0,36,1214.533333,61,0,9,36
0,1,1,15,1,0,0,0,15,60,1214.533333,0,0,15
0,2,1,16,2,0,1,0,16,1171.090909,60.25,0,7,16
0,1,1,11,1,0,0,0,11,60,1171.090909,0,0,11
0,1,1,7,1,0,0,0,7,60,1639.714286,0,0,7
0,1,1,16,1,0,1,0,16,1562.666667,60,0,7,16
18,9,1,18,9,0,0,0,18,60,62,9,0,18
0,1,1,1,1,0,0,0,1,0,60,0,0,1
2,1,1,2,1,0,0,0,2,0,62,1,0,2
18,9,1,18,9,0,0,0,18,0,62,9,0,18
2,1,1,2,1,0,0,0,2,0,62,1,0,2
0,2,1,12,2,0,3,0,12,108.4,138,0,2,12
0,1,1,5,1,0,0,0,5,176,108.4,0,0,5
2,3,1,6,3,0,2,0,6,0,62,1,0,6
4,2,1,4,2,0,0,0,4,0,62,2,0,4
2,3,1,14,3,0,3,0,14,108.4,127.2857143,1,2,14
0,1,1,5,1,0,0,0,5,176.25,108.4,0,0,5
0,1,1,3,1,0,0,0,3,119.3333333,973.3333333,0,0,3
0,1,1,6,1,0,0,0,6,1429,119.3333333,0,2,6
0,1,1,2,1,0,1,0,2,0,62,0,0,2
2,1,1,2,1,0,0,0,2,0,62,1,0,2
0,1,1,3,1,0,0,0,3,64,1426,0,0,3
0,1,1,6,1,0,0,0,6,1426,64,0,5,6
0,1,1,4,1,0,2,0,4,60,1769,0,0,4
2,2,1,8,2,0,0,0,8,2798,60.5,1,3,8
0,1,1,3,1,0,0,0,3,60,1426,0,0,3
0,1,1,4,1,0,0,0,4,1426,60,0,2,4
0,1,1,8,1,0,0,0,8,60,1597.5,0,0,8
0,1,1,8,1,0,0,0,8,1654.666667,60,0,4,8
0,1,1,10,1,0,0,0,10,1426,60,0,5,10
0,1,1,6,1,0,0,0,6,60,1426,0,0,6
0,1,1,7,1,0,0,0,7,60,2210,0,0,7
0,1,1,14,1,0,0,0,14,2112,60,0,7,14
0,3,1,30,3,0,2,0,30,1016.1875,67.06666667,0,11,30
0,1,1,11,1,0,0,0,11,60,1426,0,0,11
0,1,1,1,1,0,0,0,1,0,133,0,0,1
0,1,1,4,1,0,0,0,4,82.25,110,0,0,4
0,1,1,15,1,0,0,0,15,60,1750.2,0,0,14
0,1,1,30,1,0,0,0,30,1577.785714,60,0,15,30
0,1,1,1,1,0,0,0,1,0,60,0,0,1
0,3,1,14,3,0,4,0,14,108.6,126.4285714,0,2,14
0,1,1,1,1,1,0,0,1,0,60,0,0,1
0,1,1,4,1,0,0,0,4,175.25,120.75,0,0,4
0,1,1,1,1,0,0,0,1,0,60,0,0,1
0,1,1,1,1,0,0,0,1,0,60,0,0,1
4,2,1,6,2,0,1,0,6,60,62,1,0,6
0,1,1,2,1,2,0,0,2,62,60,0,0,2
0,1,1,5,1,0,0,0,5,114.25,98,0,0,5
0,3,1,12,3,0,2,0,12,152.2,99.66666667,0,2,12
0,1,1,1,1,0,0,0,1,0,333,0,0,1
0,1,1,2,1,0,1,0,2,0,62,0,0,2
0,1,1,2,1,2,0,0,2,62,60,0,0,2
6,3,1,8,3,0,1,0,8,60,62,3,0,8
0,1,1,1,1,1,0,0,1,62,60,0,0,1
0,1,1,2,1,2,0,0,2,62,60,0,0,2
4,2,1,4,2,0,0,0,4,60,62,2,0,4
0,1,1,1,1,1,0,0,1,0,60,0,0,1
0,1,1,2,1,0,1,0,2,0,62,0,0,2
0,1,1,2,1,0,1,0,2,0,62,0,0,2
4,3,1,14,3,0,2,0,14,108.6,127.2857143,2,2,14
0,1,1,5,1,0,0,0,5,176.25,108.6,0,0,5
2,2,1,8,2,0,1,0,8,60,107,1,1,8
0,1,1,1,1,0,0,0,1,152,60,0,0,1
0,1,1,4,1,0,0,0,4,60,1335.5,0,0,4
0,1,1,6,1,0,0,0,6,1590,60,0,3,6
0,1,1,6,1,0,0,0,6,60,1078,0,0,6
0,1,1,10,1,0,0,0,10,1078,60,0,8,10
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,1,1,12,1,0,0,0,12,1334,60,0,11,12
0,1,1,5,1,0,1,0,5,60,1078,0,0,5
0,1,1,8,1,0,0,0,8,1078,60,0,5,8
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
2,2,1,12,2,0,0,0,12,824,62.66666667,1,4,12
0,1,1,1,1,0,0,0,1,67,62,0,0,1
0,1,1,7,1,0,0,0,7,60,1224.285714,0,0,7
0,1,1,10,1,0,0,0,10,1248.666667,60,0,5,10
0,1,1,5,1,0,0,0,5,60,1282.8,0,0,5
0,2,1,8,2,0,1,0,8,1078,60.5,0,3,8
0,1,1,10,1,0,0,0,10,60,1385.2,0,0,10
0,1,1,16,1,0,0,0,16,1462,60,0,8,16
0,1,1,8,1,0,1,0,8,60,1462,0,0,8
0,1,1,20,1,0,0,0,20,1370.571429,60,0,19,20
2,2,1,16,2,0,0,0,16,1516.857143,60.25,1,7,16
0,1,1,7,1,0,0,0,7,60,1516.857143,0,0,7
0,1,1,1,1,0,0,0,1,60,2102,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,1,2
0,1,1,1,1,0,0,0,1,60,1078,0,0,1
0,1,1,2,1,0,0,0,2,0,60,0,2,2
0,1,1,4,1,0,0,0,4,60,1334,0,0,4
0,1,1,6,1,0,0,0,6,1590,60,0,3,6
0,1,1,8,1,0,0,0,8,60,1121.375,0,0,7
0,1,1,10,1,0,0,0,10,1147.4,60,0,5,10
0,2,1,18,2,0,4,0,18,108.6,162.7777778,0,3,18
0,1,1,9,1,0,0,0,9,191.8571429,114,0,0,9
0,1,1,1,1,0,0,0,1,0,60,0,0,1
0,1,1,4,1,0,1,0,4,60,60,0,1,4
0,1,1,1,1,0,0,0,1,0,60,0,0,1
0,2,1,4,2,0,1,0,4,0,120,0,0,4
0,1,1,2,1,2,0,0,2,62,60,0,0,2
0,1,1,1,1,1,0,0,1,0,60,0,0,1
2,1,1,2,1,0,0,0,2,60,62,1,0,2
2,1,1,2,1,0,0,0,2,60,62,1,0,2
0,1,1,1,1,1,0,0,1,0,60,0,0,1
0,1,1,6,1,0,1,0,6,62,156.6666667,0,1,6
0,1,1,1,1,0,0,0,1,204,62,0,0,1
